"年別","亞洲地區","非洲地區","美洲地區","大洋洲地區","歐洲地區","其他未列明","小計"
"Year","Asia","Africa","Americas","Oceania","Europe","Unknow","Total"
"45","0","","0","0","0","0","0"
"46","0","","0","0","0","0","0"
"47","0","","0","0","0","0","0"
"48","0","","0","0","0","0","0"
"49","0","","0","0","0","0","0"
"50","0","","0","0","0","0","0"
"51","0","","0","0","0","0","0"
"52","0","0","0","0","0","0","0"
"53","0","0","0","0","0","0","0"
"54","54791","0","47843","3935","7251","4640","118460"
"55","76343","0","62963","5307","9070","6596","160279"
"56","108382","548","73238","4342","9370","2338","198218"
"57","142460","721","79771","8917","12227","6503","250599"
"58","185726","613","102825","9983","13599","8442","321188"
"59","230865","1249","132535","14353","17818","12936","409756"
"60","309590","1786","116486","10620","22148","5940","466570"
"61","402245","1453","131065","10418","20325","14527","580033"
"62","622233","1723","145194","12887","27108","15248","824393"
"63","630168","1753","128362","11550","34589","13399","819821"
"64","650607","2754","137013","14428","43186","5152","853140"
"65","780958","2998","153878","18142","50482","1668","1008126"
"66","879949","4243","152422","18624","41702","13242","1110182"
"67","1016772","5259","172581","19214","50253","6898","1270977"
"68","1125293","5730","140175","14286","51712","3186","1340382"
"69","1153807","9397","155284","14801","58550","1415","1393254"
"70","1145920","18634","159898","16938","63194","4881","1409465"
"71","1156417","18288","154608","19385","62633","7847","1419178"
"72","1170351","18288","176722","19577","65809","6657","1457404"
"73","1198436","17451","198494","20518","70970","10269","1516138"
"74","1130677","12779","206908","20233","70689","10373","1451659"
"75","1226362","14996","222470","21085","85276","40196","1610385"
"76","1334004","15963","248997","22347","101698","37939","1760948"
"77","1504560","17224","247860","22864","109328","33298","1935134"
"78","1565853","14387","251904","24276","111273","36433","2004126"
"79","1499922","12913","256074","22689","111472","31014","1934084"
"80","1415038","13020","273349","22848","114399","15852","1854506"
"81","1409665","11489","294641","25300","120609","11623","1873327"
"82","1373022","11411","304591","26305","121965","12920","1850214"
"83","1612105","11067","325363","28519","135066","15129","2127249"
"84","1796952","10384","331171","31875","144717","16835","2331934"
"85","1811832","9829","333858","32631","152494","17577","2358221"
"86","1800475","9137","350049","34825","159071","18675","2372232"
"87","1720921","8039","355336","34597","160277","19536","2298706"
"88","1813079","7955","364742","35875","161808","27789","2411248"
"89","1984515","8787","409581","38229","161012","21913","2624037"
"90","2224356","8872","402327","38362","148569","8549","2831035"
"91","2331217","9255","437078","41223","148797","10122","2977692"
"92","1767640","7523","314721","32330","118843","7060","2248117"
"93","2275924","9755","444528","50958","164945","4232","2950342"
"94","2678997","9201","457156","55732","172494","4538","3378118"
"95","2821920","8911","461033","52019","172777","3167","3519827"
"96","2982669","8607","468996","61802","186483","7506","3716063"
"97","3085783","8499","461269","68555","200914","20167","3845187"
"98","3655084","7735","442036","66173","197070","26906","4395004"
"99","4783060","8254","474709","71953","203301","26000","5567277"
"100","5264210","8938","495136","70540","212148","36512","6087484"
"101","6473684","8865","497597","75414","218045","37865","7311470"
"102","7138786","8795","502446","77722","223062","65469","8016280"
"103","8970186","9960","565375","93119","264880","6684","9910204"
"104","9469559","10160","588192","90813","274035","7026","10439785"
"105","9624793","10668","649337","98226","299756","7499","10690279"
"106","9585635","11682","702049","108344","330090","1801","10739601"
"107","9845761","12037","732478","121697","350094","4640","11066707"
"108","10561699","12537","766254","134860","386752","2003","11864105"
"109","1183987","2502","106117","22606","59512","3137","1377861"
"110","105996","901","14642","1358","16413","1169","140479"
"111","696792","3410","108842","14920","65990","6008","895962"
"112","5432055","9354","639976","104205","298986","2375","6486951"
"113","6577539","11540","784855","131720","349981","2051","7857686"
"總計(Total)","157577627","510229","18915400","2397374","7817087","821372","188039089"
